locus_tag	ftype	length_bp	gene	EC_number	COG	product
BBJGKJEP_00001	CDS	210				hypothetical protein
BBJGKJEP_00002	CDS	399				hypothetical protein
BBJGKJEP_00003	CDS	1056				hypothetical protein
BBJGKJEP_00004	CDS	354				hypothetical protein
BBJGKJEP_00005	CDS	288				hypothetical protein
BBJGKJEP_00006	CDS	819				hypothetical protein
BBJGKJEP_00007	CDS	222				hypothetical protein
BBJGKJEP_00008	CDS	267				hypothetical protein
BBJGKJEP_00009	CDS	522				hypothetical protein
BBJGKJEP_00010	CDS	687				IS6 family transposase IS1216E
BBJGKJEP_00011	CDS	576	hin_1		COG1961	DNA-invertase hin
BBJGKJEP_00012	CDS	1173				IS256 family transposase IS1542
BBJGKJEP_00013	CDS	696	walR_1		COG0745	Transcriptional regulatory protein WalR
BBJGKJEP_00014	CDS	1143	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
BBJGKJEP_00015	CDS	969	vanH_1	1.1.1.-		D-specific alpha-keto acid dehydrogenase
BBJGKJEP_00016	CDS	1032	vanA_1	6.1.2.1		Vancomycin/teicoplanin A-type resistance protein VanA
BBJGKJEP_00017	CDS	609	vanX_1	3.4.13.22		D-alanyl-D-alanine dipeptidase
BBJGKJEP_00018	CDS	687				IS6 family transposase IS1216E
BBJGKJEP_00019	CDS	912	vanY_1	3.4.17.-		D-alanyl-D-alanine carboxypeptidase
BBJGKJEP_00020	CDS	486				hypothetical protein
BBJGKJEP_00021	CDS	330	cadC			Cadmium resistance transcriptional regulatory protein CadC
BBJGKJEP_00022	CDS	330				hypothetical protein
BBJGKJEP_00023	CDS	288				hypothetical protein
BBJGKJEP_00024	CDS	564	hin_2		COG1961	DNA-invertase hin
BBJGKJEP_00025	CDS	573	hisB	3.1.3.15		Histidine biosynthesis bifunctional protein HisB
BBJGKJEP_00026	CDS	576				hypothetical protein
BBJGKJEP_00027	CDS	753				IS21 family transposase ISBmu3
BBJGKJEP_00028	CDS	1542				IS21 family transposase ISPpu7
BBJGKJEP_00029	CDS	195				hypothetical protein
BBJGKJEP_00030	CDS	465				hypothetical protein
BBJGKJEP_00031	CDS	636	tagU	2.7.8.-	COG1316	Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU
BBJGKJEP_00032	CDS	687				IS6 family transposase IS1216E
BBJGKJEP_00033	CDS	183				hypothetical protein
BBJGKJEP_00034	CDS	285				hypothetical protein
BBJGKJEP_00035	CDS	237				hypothetical protein
BBJGKJEP_00036	CDS	255				hypothetical protein
BBJGKJEP_00037	CDS	186				hypothetical protein
BBJGKJEP_00038	CDS	396				hypothetical protein
BBJGKJEP_00039	CDS	351				hypothetical protein
BBJGKJEP_00040	CDS	375				hypothetical protein
BBJGKJEP_00041	CDS	1149				IS200/IS605 family transposase ISEfa4
BBJGKJEP_00042	CDS	405				hypothetical protein
BBJGKJEP_00043	CDS	399				hypothetical protein
BBJGKJEP_00044	CDS	768				hypothetical protein
BBJGKJEP_00045	CDS	1161				hypothetical protein
BBJGKJEP_00046	CDS	804				hypothetical protein
BBJGKJEP_00047	CDS	456				hypothetical protein
BBJGKJEP_00048	CDS	1059				hypothetical protein
BBJGKJEP_00049	CDS	1950				hypothetical protein
BBJGKJEP_00050	CDS	3690				hypothetical protein
BBJGKJEP_00051	CDS	339				hypothetical protein
BBJGKJEP_00052	CDS	330				hypothetical protein
BBJGKJEP_00053	CDS	2166				hypothetical protein
BBJGKJEP_00054	CDS	231				hypothetical protein
BBJGKJEP_00055	CDS	867				hypothetical protein
BBJGKJEP_00056	CDS	1959				hypothetical protein
BBJGKJEP_00057	CDS	495				hypothetical protein
BBJGKJEP_00058	CDS	1101				hypothetical protein
