sample	contig	length_bp	gc_pct	score	max_possible	confidence	circular_flag	assembler_not_circular	header_copy_number	hairpin_identity	hairpin_found	cov_left_ratio	cov_right_ratio	tip_left_ratio	tip_right_ratio	cov_drop_left	cov_drop_right	tip_drop_left	tip_drop_right	body_mean_depth	asymmetric_pelf	bam_asymmetric	has_tp_gene	copy_number_est	gfa_topology	gfa_linear	skani_hit	skani_linear_db_hit	skani_top_hit	skani_identity	skani_coverage	blast_hit	blast_top_hit	partition_genes	repb_rep2	enterococcal_markers	is_elements	tas_systems	tp_genes	score_breakdown
51525510	plasmid00002	120895	33.98	88	304	HIGH		False	1.53	0.292	False	0.012	1.051	0.0	0.197	True	False	True	False	433.2	True	True	False	1.49	unknown	False	True	True	plasmid00002 length=120895 plasmid_copy_number_short=1.56x plasmid_copy_number_long=1.5x	100.0	100.0	False								{'circular_flag_absent': 20, 'header_copy_number': 8, 'asymmetric_ends': 15, 'size_range': 10, 'skani_hit_linear_db': 20, 'coverage_drop_ends': 10, 'copy_number_low': 5}
51525510	plasmid00003	28103	35.33	53	304	MEDIUM	True	False	1.58	0.262	False	1.007	0.993	0.32	0.0	False	False	False	True	419.0	False	False	False	1.5	unknown	False	True	True	LC495616.1 Enterococcus faecium AA708 plasmid pELF1 DNA, complete genome	94.85	39.64	False								{'header_copy_number': 8, 'size_range': 10, 'skani_hit_linear_db': 20, 'coverage_drop_ends': 10, 'copy_number_low': 5}
51525510	plasmid00001	257633	35.2	23	304	LOW	True	False	2.01	0.284	False	0.871	0.973	0.315	0.291	False	False	False	False	500.7	False	False	False	1.77	unknown	False	False	False		0		False								{'header_copy_number': 8, 'size_range': 10, 'copy_number_low': 5}
51535247	plasmid00002	102953	34.29	63	304	MEDIUM		False	1.78	0.298	False	1.207	1.387	1.341	0.942	False	False	False	False	46.1	False	False	False	1.76	unknown	False	True	True	plasmid00002 length=120895 plasmid_copy_number_short=1.56x plasmid_copy_number_long=1.5x	99.65	82.74	False								{'circular_flag_absent': 20, 'header_copy_number': 8, 'size_range': 10, 'skani_hit_linear_db': 20, 'copy_number_low': 5}
51535247	plasmid00003	43300	34.84	48	304	MEDIUM	True	False	2.54	0.294	False	1.084	0.823	0.351	0.0	False	False	False	True	84.6	False	False	False	3.12	unknown	False	True	True	plasmid00002 length=120895 plasmid_copy_number_short=1.56x plasmid_copy_number_long=1.5x	98.4	48.69	False								{'header_copy_number': 8, 'size_range': 10, 'skani_hit_linear_db': 20, 'coverage_drop_ends': 10}
51535247	plasmid00005	5884	35.98	28	304	LOW		False	2.79	0.23	False	1.845	1.806	0.341	0.56	False	False	False	False	78.4	False	False	False	5.36	unknown	False	False	False		0		False								{'circular_flag_absent': 20, 'header_copy_number': 8}
51535247	plasmid00001	213770	35.02	23	304	LOW	True	False	1.82	0.284	False	0.784	1.198	0.343	0.281	False	False	False	False	49.4	False	False	False	1.83	unknown	False	False	False		0		False								{'header_copy_number': 8, 'size_range': 10, 'copy_number_low': 5}
51558664	plasmid00002	100283	34.2	63	304	MEDIUM		False	1.7	0.284	False	1.293	1.264	0.173	0.512	False	False	False	False	175.7	False	False	False	1.86	unknown	False	True	True	plasmid00002 length=120895 plasmid_copy_number_short=1.56x plasmid_copy_number_long=1.5x	98.03	85.18	False								{'circular_flag_absent': 20, 'header_copy_number': 8, 'size_range': 10, 'skani_hit_linear_db': 20, 'copy_number_low': 5}
51558664	plasmid00004	38784	34.98	53	304	MEDIUM	True	False	2.08	0.294	False	1.141	0.809	0.252	0.0	False	False	False	True	183.1	False	False	False	1.89	unknown	False	True	True	LC495616.1 Enterococcus faecium AA708 plasmid pELF1 DNA, complete genome	96.46	44.25	False								{'header_copy_number': 8, 'size_range': 10, 'skani_hit_linear_db': 20, 'coverage_drop_ends': 10, 'copy_number_low': 5}
51558664	plasmid00003	39457	32.63	33	304	LOW	True	False	0.99	0.312	False	0.9	1.001	0.058	0.035	False	False	True	True	106.2	False	False	False	1.09	unknown	False	False	False		0		False								{'header_copy_number': 8, 'size_range': 10, 'coverage_drop_ends': 10, 'copy_number_low': 5}
51558664	plasmid00001	286031	35.32	23	304	LOW	True	False	1.41	0.282	False	0.815	0.975	0.272	0.239	False	False	False	False	133.6	False	False	False	1.37	unknown	False	False	False		0		False								{'header_copy_number': 8, 'size_range': 10, 'copy_number_low': 5}
51558664	plasmid00006	5927	35.99	20	304	LOW		False	7.26	0.314	False	1.694	1.714	0.316	0.366	False	False	False	False	518.9	False	False	False	9.17	unknown	False	False	False		0		False								{'circular_flag_absent': 20}
51560653	plasmid00002	101558	34.22	63	304	MEDIUM		False	1.8	0.29	False	1.237	1.211	0.73	0.518	False	False	False	False	75.1	False	False	False	1.9	unknown	False	True	True	plasmid00002 length=120895 plasmid_copy_number_short=1.56x plasmid_copy_number_long=1.5x	97.96	82.47	False								{'circular_flag_absent': 20, 'header_copy_number': 8, 'size_range': 10, 'skani_hit_linear_db': 20, 'copy_number_low': 5}
51560653	plasmid00003	49425	34.69	53	304	MEDIUM	True	False	2.52	0.242	False	1.07	0.891	0.343	0.0	False	False	False	True	80.2	False	False	False	1.99	unknown	False	True	True	LC495616.1 Enterococcus faecium AA708 plasmid pELF1 DNA, complete genome	93.91	43.12	False								{'header_copy_number': 8, 'size_range': 10, 'skani_hit_linear_db': 20, 'coverage_drop_ends': 10, 'copy_number_low': 5}
51560653	plasmid00001	213793	35.02	23	304	LOW	True	False	2.54	0.284	False	0.915	1.04	0.19	0.352	False	False	False	False	95.2	False	False	False	2.35	unknown	False	False	False		0		False								{'header_copy_number': 8, 'size_range': 10, 'copy_number_low': 5}
51560653	plasmid00005	5863	36.02	20	304	LOW		False	5.06	0.286	False	1.656	1.643	0.36	0.294	False	False	False	False	141.9	False	False	False	5.87	unknown	False	False	False		0		False								{'circular_flag_absent': 20}
